id;name;entity_id;parent_id;has_instances;init_state_id;short_name;agregate;base_class_id;target_class_id;criteria_id;data_size;data_precision;min_value;max_value;default_value;autonomous;is_collection;modified;pad_style;pad_char;pad_length;interface;kernel;param_group;tag;validator_id;input_mask;trigger_id;storage_group;init_method_id;lob_storage_group;temp_type;has_type;key_attr;data_precision_min;properties;ods_validfrom;ods_opc;ods_sequenceid
A_DOC_STATE_REF;"Ссылка на ""Состояния административных дел РЦ""";TYPE;;0;;1E+14;REFERENCE;REFERENCE;ADM_DOCUM_STATE;;;;;;;0;0;1,08759E+12;;;;NUMBER;0;;;;;;;;;;0;;;;-2,20899E+12;I;
A_PROD_REF;"Ссылка на ""Продукты""";TYPE;;1;;1E+14;REFERENCE;REFERENCE;PRODUCT;;;;;;;0;0;8,83613E+11;;;;NUMBER;0;;CORE;;;;SMALL;;;;0;;;|Weight 174059589|;1,48447E+12;U;5,3452E+15
A_PROD_REF_ARR;"Массив ""Ссылка на ""Продукты""""";TYPE;;0;;1E+23;;COLLECTION;A_PROD_REF;;;;;;;0;0;1,10908E+12;;;;NUMBER;0;;;;;;;;;;0;;;;-2,20899E+12;I;
A_SPXSELECTCARBA;Интерфейсы. ЕКС - Аналитка. SPX_SELECTCARRY_BASE;TYPE;;1;;1E+14;STRUCTURE;STRUCTURE;;;;;;;;0;0;1,3872E+12;;;;Z#A_SPXSELECTCARBA#INTERFACE.CLASS#A_SPXSELECTCARBA;0;;;;;;;;;P;0;;;|Weight 0|;1,476E+12;U;3,5215E+15
A_SYSTEM;ЦАС НСИ. Справочник автоматизированных систем;TYPE;;1;;1E+14;STRUCTURE;STRUCTURE;;;;;;;;1;0;1,22357E+12;;;;Z#A_SYSTEM#INTERFACE.CLASS#A_SYSTEM;0;AS_FNS;;;;;SMALL;;;;0;;;|Weight 144|;1,476E+12;U;3,5215E+15
A_SYSTEM_REF;"Ссылка на ""АС ФНС Справочник автоматизированных систем""";TYPE;;0;;1E+14;REFERENCE;REFERENCE;A_SYSTEM;;;;;;;0;0;1,22105E+12;;;;NUMBER;0;;;;;;;;;;0;;;;-2,20899E+12;I;
AB_FORMAT;Абонент - структура каталогов;TYPE;;1;;1E+14;STRUCTURE;STRUCTURE;;;;;;;;0;0;1,10138E+12;;;;Z#AB_FORMAT#INTERFACE.CLASS#AB_FORMAT;0;;AB_FORMAT;;;;SMALL;;;;0;;;|Weight 5983|;1,476E+12;U;3,5215E+15
AB_FORMAT_ARR;"Массив ""Абонент - структура каталогов""";TYPE;;0;;1E+23;;COLLECTION;AB_FORMAT;;;;;;;0;0;1,10147E+12;;;;NUMBER;0;;;;;;;;;;0;;;;-2,20899E+12;I;
ABO_DEV_DATA;ОП Разработочная таблица (Ф-110, Ф-112, Ф-113, Ф-125). Предварительные данные. Корректировки.;TYPE;REPS_DATA;1;;1,00001E+19;STRUCTURE;STRUCTURE;;;;;;;;1;0;1,08316E+12;;;;Z#ABO_DEV_DATA#INTERFACE.CLASS#ABO_DEV_DATA;0;REPS;;;;;SMALL;;;;0;;;|Weight 48|;1,476E+12;U;3,5215E+15
ABO_DEV_DATA_REF;"Ссылка на ""ОП Разработочная таблица (Ф-110, Ф-112, Ф-113, Ф-125). Предварительные данные. Корректировки.""";TYPE;;0;;1E+14;REFERENCE;REFERENCE;ABO_DEV_DATA;;;;;;;0;0;1,0652E+12;;;;NUMBER;0;;;;;;;;;;0;;;;-2,20899E+12;I;
ABO_DEV_TUN_REF;"Ссылка на ""ОП Разработочная таблица (Ф-110, Ф-112, Ф-113, Ф-125). Настройка""";TYPE;;0;;1E+14;REFERENCE;REFERENCE;ABO_DEV_TUNING;;;;;;;0;0;1,0652E+12;;;;NUMBER;0;;;;;;;;;;0;;;;-2,20899E+12;I;
ABO_DEV_TUNING;ОП Разработочная таблица (Ф-110, Ф-112, Ф-113, Ф-125). Настройка;TYPE;REPS_TUNING;1;;1,00001E+19;STRUCTURE;STRUCTURE;;;;;;;;1;0;1,0652E+12;;;;Z#ABO_DEV_TUNING#INTERFACE.CLASS#ABO_DEV_TUNING;0;REPS;;;;;SMALL;;;;0;;;|Weight 1432|;1,476E+12;U;3,5215E+15
ABO_PM_TUN;ОП Настройки +/-;TYPE;;1;;1E+14;STRUCTURE;STRUCTURE;;;;;;;;0;0;1,06728E+12;;;;Z#ABO_PM_TUN#INTERFACE.CLASS#ABO_PM_TUN;0;;;;;;SMALL;;;;0;;;|Weight 2581|;1,476E+12;U;3,5215E+15
ABO_PM_TUN_ARR;"Массив ""ОП Настройки +/-""";TYPE;;0;;1E+23;;COLLECTION;ABO_PM_TUN;;;;;;;0;0;1,06728E+12;;;;NUMBER;0;;;;;;;;;;0;;;;-2,20899E+12;I;
ABONENT;Абонент;TYPE;;1;;1E+23;STRUCTURE;STRUCTURE;;;;;;;;0;0;1,43458E+12;;;;Z#ABONENT#INTERFACE.CLASS#ABONENT;0;;;;;;SMALL;;;;0;;;|Weight 0|;1,476E+12;U;3,5215E+15
AC_4_COUP_CL;ФПД Счета депо для гашения купона;TYPE;;1;;1E+14;STRUCTURE;STRUCTURE;;;;;;;;0;0;9,94947E+11;;;;Z#AC_4_COUP_CL#INTERFACE.CLASS#AC_4_COUP_CL;0;;#IFS#;;;;SMALL;;;;0;;;|Weight 0|;1,476E+12;U;3,5215E+15
AC_4_COUP_CL_ARR;"Массив ""ФПД Счета депо для гашения купона""";TYPE;;0;;1E+23;;COLLECTION;AC_4_COUP_CL;;;;;;;0;0;9,95814E+11;;;;NUMBER;0;;;;;;;;;;0;;;;-2,20899E+12;I;
AC_ARREST;Арестованые счета;TYPE;;1;;1E+14;STRUCTURE;STRUCTURE;;;;;;;;0;0;1,3661E+12;;;;Z#AC_ARREST#INTERFACE.CLASS#AC_ARREST;0;;;;;;SMALL;;;;0;;;|Weight 500687|;1,48447E+12;U;5,3452E+15
AC_ARREST_ARR;"Массив ""Арестованые счета""";TYPE;;0;;1E+23;;COLLECTION;AC_ARREST;;;;;;;0;0;1,36456E+12;;;;NUMBER;0;;;;;;;;;;0;;;;-2,20899E+12;I;
AC_ARREST_REF;"Ссылка на ""Арестованые счета""";TYPE;;0;;1E+14;REFERENCE;REFERENCE;AC_ARREST;;;;;;;0;0;1,3669E+12;;;;NUMBER;0;;;;;;;;;;0;;;;-2,20899E+12;I;
AC_FIN;Финансовые счета;ACCOUNT;ACCOUNT;1;;1,0011E+23;STRUCTURE;STRUCTURE;;;;;;;;1;0;1,37682E+12;;;;Z#AC_FIN#INTERFACE.CLASS#AC_FIN;0;;;;;;LARGE;;;;0;;;|Weight 170796323|;1,48447E+12;U;5,3452E+15
AC_FIN_CRRLTN;Переход на 302-П. Соответствие финансовых счетов нового и старого плана счетов;TYPE;;1;;1E+23;STRUCTURE;STRUCTURE;;;;;;;;1;0;1,32222E+12;;;;Z#AC_FIN_CRRLTN#INTERFACE.CLASS#AC_FIN_CRRLTN;0;302-P;;;;;SMALL;;;;0;;;|Weight 1535531|;1,476E+12;U;3,5215E+15
AC_FIN_REF;"Ссылка на ""Финансовые счета""";TYPE;;1;;1E+14;REFERENCE;REFERENCE;AC_FIN;;;;;;;0;0;1,03169E+12;;;;NUMBER;0;;CORE;;;;MEDIUM;;;;0;;;|Weight 23843490|;1,48447E+12;U;5,3452E+15
AC_MAT;Материальные счета;ACCOUNT;ACCOUNT;1;;1,0011E+23;STRUCTURE;STRUCTURE;;;;;;;;1;0;1,31772E+12;;;;Z#AC_MAT#INTERFACE.CLASS#AC_MAT;0;;;;;;SMALL;;;;0;;;|Weight 10772727|;1,48447E+12;U;5,3452E+15
AC_OFF;Аналитические счета резервирования;ACCOUNT;AC_FIN;1;;1,1E+20;STRUCTURE;STRUCTURE;;;;;;;;1;0;1,06389E+12;;;;Z#AC_OFF#INTERFACE.CLASS#AC_OFF;0;;;;;;SMALL;;;;0;;;|Weight 0|;1,476E+12;U;3,5215E+15
AC_OVP_RQ_1;Выгрузка в АСУ ОВП;TYPE;;1;;1E+14;STRUCTURE;STRUCTURE;;;;;;;;1;0;1,42247E+12;;;;Z#AC_OVP_RQ_1#INTERFACE.CLASS#AC_OVP_RQ_1;0;ASU_OVP;;;;;SMALL;;;;0;;;|Weight 995084|;1,48447E+12;U;5,3452E+15
AC_PPS;Аналитические счета ППС;ACCOUNT;AC_FIN;1;;1,0011E+23;STRUCTURE;STRUCTURE;;;;;;;;1;0;1,06329E+12;;;;Z#AC_PPS#INTERFACE.CLASS#AC_PPS;0;;;;;;SMALL;;;;0;;;|Weight 0|;1,476E+12;U;3,5215E+15
AC_PPS_REF;"Ссылка на ""Аналитические счета ППС""";TYPE;;0;;1E+14;REFERENCE;REFERENCE;AC_PPS;;;;;;;0;0;1,05534E+12;;;;NUMBER;0;;;;;;;;;;0;;;;-2,20899E+12;I;
AC_TAX;Аналитические счета НУ;ACCOUNT;AC_FIN;1;;1,1E+20;STRUCTURE;STRUCTURE;;;;;;;;1;0;1,06261E+12;;;;Z#AC_TAX#INTERFACE.CLASS#AC_TAX;0;;NU25;;;;SMALL;;;;0;;;|Weight 0|;1,476E+12;U;3,5215E+15
AC_TAX_REF;"Ссылка на ""Аналитические счета НУ""";TYPE;;0;;1E+14;REFERENCE;REFERENCE;AC_TAX;;;;;;;0;0;1,01342E+12;;;;NUMBER;0;;HK25;;;;;;;;0;;;;-2,20899E+12;I;
ACC_2L_2MCA_ARR;"Массив ""Пользователи. Доступ в ТЯ1""""";TYPE;;0;;1E+23;;COLLECTION;USERS_2L_2MCA;;;;;;;0;0;1,33622E+12;;;;NUMBER;0;;;;;;;;;;0;;;;-2,20899E+12;I;
ACC_365_PRINT;Положение 365-П. Счета для печати (grid);TYPE;;0;;1E+14;STRUCTURE;STRUCTURE;;;;;;;;0;0;1,50004E+12;;;;Z#ACC_365_PRINT#INTERFACE.CLASS#ACC_365_PRINT;0;;;;;;;;;;0;;;;1,50622E+12;U;7,0276E+15
ACC_365_WORK;Положение 365-П. Счета для обработки (grid);TYPE;;0;;1E+23;STRUCTURE;STRUCTURE;;;;;;;;0;0;1,39204E+12;;;;Z#ACC_365_WORK#INTERFACE.CLASS#ACC_365_WORK;0;;;;;;;;;;0;;;;1,4917E+12;U;5,8838E+15
ACC_61209_TUNING;ОП Расшифровка счета 61209. Настройка;TYPE;;1;;1E+14;STRUCTURE;STRUCTURE;;;;;;;;1;0;1,36301E+12;;;;Z#ACC_61209_TUNING#INTERFACE.CLASS#ACC_61209_TUNING;0;REPS;;;;;SMALL;;;;0;;;|Weight 0|;1,476E+12;U;3,5215E+15
